Drug_Category,CCG_Region,Total_Items,Total_Cost,Average_Items
Antidepressants,NHS BOLTON,2555501,5758984.3,42591.683333333334
Antidepressants,NHS EAST LEICESTERSHIRE AND RUTLAND,2465066,6732741.6,41084.433333333334
Antidepressants,NHS LEICESTER CITY,2422027,5419498.57,40367.11666666667
Antidepressants,NHS BRIGHTON AND HOVE,2334698,6677336.42,38911.63333333333
Antidepressants,NHS WEST ESSEX,2238827,5439971.19,37313.78333333333
Antidepressants,NHS ST HELENS,2214033,5072686.72,36900.55
Antidepressants,NHS BLACKPOOL,2163305,4223713.71,36055.083333333336
Antidepressants,NHS TAMESIDE AND GLOSSOP,2134214,4272899.73,35570.23333333333
Antidepressants,NHS SOUTH TYNESIDE,2043203,3639195.62,34053.38333333333
Antidepressants,NHS THAMES VALLEY ICB - U2G6B,2022494,6004827.24,33708.23333333333
Antidepressants,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2018911,4526078.02,33648.51666666667
Antidepressants,NHS OLDHAM,2015703,4399029.71,33595.05
Antidepressants,NHS NORTH STAFFORDSHIRE,1995134,4695025.01,33252.23333333333
Antidepressants,NHS CALDERDALE,1958139,4092571.43,32635.65
Antidepressants,NHS TRAFFORD,1948120,4780189.87,32468.666666666668
Antidepressants,NHS FYLDE AND WYRE,1874062,3821918.35,31234.366666666665
Antidepressants,NHS NORTH LINCOLNSHIRE,1848570,3637260.4,30809.5
Antidepressants,NHS KNOWSLEY,1800424,3952577.63,30007.066666666666
Antidepressants,NHS BASILDON AND BRENTWOOD,1775441,4959315.51,29590.683333333334
Antidepressants,NHS GREATER PRESTON,1764920,3785800.58,29415.333333333332
Antidepressants,NHS VALE OF YORK,1728897,3923400.31,28814.95
Antidepressants,NHS PORTSMOUTH,1718980,4390770.91,28649.666666666668
Antidepressants,NHS WARRINGTON,1696048,4648307.8,28267.466666666667
Antidepressants,NHS SOUTH SEFTON,1611243,3688006.34,26854.05
Antidepressants,NHS BURY,1603798,4252958.72,26729.966666666667
Antidepressants,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,1597723,3843504.7,26628.716666666667
Antidepressants,NHS NORTH EAST LINCOLNSHIRE,1570614,2872104.68,26176.9
Antidepressants,NHS CHORLEY AND SOUTH RIBBLE,1548391,3943564.1,25806.516666666666
Antidepressants,NHS BLACKBURN WITH DARWEN,1410485,2811056.14,23508.083333333332
Antidepressants,NHS SOUTHEND,1408565,3917847.79,23476.083333333332
Antidepressants,NHS HALTON,1304545,3224455.22,21742.416666666668
Antidepressants,NHS BASSETLAW,1301577,2606849.08,21692.95
Antidepressants,NHS CASTLE POINT AND ROCHFORD,1247753,3713443.45,20795.883333333335
Antidepressants,NHS THURROCK,1146585,2595672.99,19109.75
Antidepressants,NHS CANNOCK CHASE,1145949,2843160.36,19099.15
Antidepressants,NHS SOUTHPORT AND FORMBY,1126523,2808177.02,18775.383333333335
Antidepressants,NHS STAFFORD AND SURROUNDS,1126303,2706626.59,18771.716666666667
Antidepressants,NHS EAST STAFFORDSHIRE,1038913,2520389.48,17315.216666666667
Antidepressants,NHS WEST LANCASHIRE,907659,2223885.81,15127.65
Antidepressants,NHS FRIMLEY,135200,414312.62,2253.3333333333335
Antidepressants,NHS MEDWAY,0,0.0,0.0
Anxiolytics,NHS DEVON,831693,2078704.32,13861.55
Anxiolytics,NHS NORFOLK AND WAVENEY,814852,1870589.64,13580.866666666667
Anxiolytics,NHS KENT AND MEDWAY,772482,2627992.4699999997,12874.7
Anxiolytics,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",720396,2657962.08,12006.6
Anxiolytics,NHS DERBY AND DERBYSHIRE,713475,1777050.76,11891.25
Anxiolytics,NHS NORTH WEST LONDON,702131,1754455.07,11702.183333333332
Anxiolytics,NHS BLACK COUNTRY,603215,2783478.05,10053.583333333334
Anxiolytics,NHS BIRMINGHAM AND SOLIHULL,582189,2182264.56,9703.15
Anxiolytics,NHS LINCOLNSHIRE,551936,1942136.16,9198.933333333332
Anxiolytics,NHS NORTH CENTRAL LONDON,542263,1436479.42,9037.716666666667
Anxiolytics,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",533446,1012907.15,8890.766666666666
Anxiolytics,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",522143,1252619.31,8702.383333333333
Anxiolytics,NHS SOUTH WEST LONDON,521784,1242808.8,8696.4
Anxiolytics,NHS SURREY HEARTLANDS,513976,1858429.77,8566.266666666666
Anxiolytics,NHS HEREFORDSHIRE AND WORCESTERSHIRE,486254,1484425.61,8104.233333333334
Anxiolytics,NHS COVENTRY AND WARWICKSHIRE,480624,1866569.27,8010.4
Anxiolytics,NHS NORTH EAST LONDON,476532,1357220.6,7942.2
Anxiolytics,NHS GLOUCESTERSHIRE,463398,1146220.62,7723.3
Anxiolytics,NHS LIVERPOOL,449398,1541182.39,7489.966666666666
Anxiolytics,NHS DORSET,442227,1001424.56,7370.45
Anxiolytics,NHS EAST SUSSEX,430055,1348197.31,7167.583333333333
Anxiolytics,NHS CORNWALL AND THE ISLES OF SCILLY,409440,787720.89,6824.0
Anxiolytics,NHS CAMBRIDGESHIRE AND PETERBOROUGH,405344,1115730.69,6755.733333333334
Anxiolytics,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",398458,1248133.91,6640.966666666666
Anxiolytics,NHS SOUTH EAST LONDON,396771,1016827.91,6612.85
Anxiolytics,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,381611,1341489.28,6360.183333333333
Anxiolytics,NHS WEST SUSSEX,381575,1158001.77,6359.583333333333
Anxiolytics,NHS NORTHAMPTONSHIRE,378505,898524.15,6308.416666666667
Anxiolytics,NHS CHESHIRE,364158,1360372.69,6069.3
Anxiolytics,NHS SOMERSET,332489,1124529.07,5541.483333333334
Anxiolytics,NHS SHEFFIELD,318993,849079.61,5316.55
Anxiolytics,NHS MANCHESTER,318896,917687.21,5314.933333333333
