date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-04-01,84H,"NHS COUNTY DURHAM",4680,16835.59,0,0
2021-04-01,13T,"NHS NEWCASTLE GATESHEAD",4806,20225.48,0,0
2021-04-01,06T,"NHS NORTH EAST ESSEX",5371,17294.3,0,0
2021-04-01,16C,"NHS TEES VALLEY",5738,22674.08,0,0
2021-04-01,03N,"NHS SHEFFIELD",5748,21155.95,0,0
2021-04-01,14L,"NHS MANCHESTER",5956,17974.49,0,0
2021-04-01,27D,"NHS CHESHIRE",6373,26665.79,0,0
2021-04-01,11X,"NHS SOMERSET",6516,19636.48,0,0
2021-04-01,70F,"NHS WEST SUSSEX",6553,24005.54,0,0
2021-04-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",6668,30556.93,0,0
2021-04-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",6901,21545.72,0,0
2021-04-01,72Q,"NHS SOUTH EAST LONDON",7137,18192.82,0,0
2021-04-01,97R,"NHS EAST SUSSEX",7166,24305.12,0,0
2021-04-01,78H,"NHS NORTHAMPTONSHIRE",7182,20200.17,0,0
2021-04-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",7459,18129.55,0,0
2021-04-01,11J,"NHS DORSET",7891,22059.82,0,0
2021-04-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",7918,25051.89,0,0
2021-04-01,99A,"NHS LIVERPOOL",7995,31024.51,0,0
2021-04-01,11M,"NHS GLOUCESTERSHIRE",8171,19901.43,0,0
2021-04-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",8205,31541.87,0,0
2021-04-01,A3A8R,"NHS NORTH EAST LONDON",8577,30915.27,0,0
2021-04-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",8649,28667.83,0,0
2021-04-01,92A,"NHS SURREY HEARTLANDS",9180,32421.41,0,0
2021-04-01,36L,"NHS SOUTH WEST LONDON",9202,20790.9,0,0
2021-04-01,93C,"NHS NORTH CENTRAL LONDON",9307,24948.1,0,0
2021-04-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",9370,23230.74,0,0
2021-04-01,71E,"NHS LINCOLNSHIRE",9904,36310.02,0,0
2021-04-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",10261,27533.26,0,0
2021-04-01,15E,"NHS BIRMINGHAM AND SOLIHULL",10288,39993.09,0,0
2021-04-01,D2P2L,"NHS BLACK COUNTRY",10660,49914.56,0,0
2021-04-01,15M,"NHS DERBY AND DERBYSHIRE",12065,39248.25,0,0
2021-04-01,W2U3Z,"NHS NORTH WEST LONDON",12248,28226.6,0,0
2021-04-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",12764,46312.57,0,0
2021-04-01,91Q,"NHS KENT AND MEDWAY",14622,51486.65,0,0
2021-04-01,15N,"NHS DEVON",15235,43361.18,0,0
2021-04-01,26A,"NHS NORFOLK AND WAVENEY",15245,38691.29,0,0
2021-05-01,09W,"NHS MEDWAY",0,0,0,0
2021-05-01,D4U1Y,"NHS FRIMLEY",401,996.54,0,0
2021-05-01,07G,"NHS THURROCK",564,1846.57,0,0
2021-05-01,02G,"NHS WEST LANCASHIRE",937,6092.58,0,0
2021-05-01,02Q,"NHS BASSETLAW",971,3342.99,0,0
2021-05-01,99F,"NHS CASTLE POINT AND ROCHFORD",982,5422.67,0,0
2021-05-01,00V,"NHS BURY",1017,5661.15,0,0
2021-05-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1069,5161.32,0,0
2021-05-01,05D,"NHS EAST STAFFORDSHIRE",1076,4354.77,0,0
2021-05-01,00N,"NHS SOUTH TYNESIDE",1103,4653.63,0,0
2021-05-01,01E,"NHS GREATER PRESTON",1140,7263.41,0,0
2021-05-01,04Y,"NHS CANNOCK CHASE",1217,6001.01,0,0
2021-05-01,00R,"NHS BLACKPOOL",1254,5506.36,0,0
2021-05-01,03Q,"NHS VALE OF YORK",1267,6937.39,0,0
2021-05-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1332,8837.54,0,0
2021-05-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1334,6751.68,0,0
2021-05-01,99G,"NHS SOUTHEND",1363,3827.27,0,0
