date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-04-01,10Q,"NHS OXFORDSHIRE",73712,274558.56,0,0
2021-04-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",73809,243603.73,0,0
2021-04-01,99A,"NHS LIVERPOOL",82326,279898.7,0,0
2021-04-01,14L,"NHS MANCHESTER",83958,265013.14,0,0
2021-04-01,03N,"NHS SHEFFIELD",84324,249344.29,0,0
2021-04-01,11M,"NHS GLOUCESTERSHIRE",86497,270392.79,0,0
2021-04-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",89009,287054,0,0
2021-04-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",89640,291830.98,0,0
2021-04-01,92A,"NHS SURREY HEARTLANDS",93644,417846.41,0,0
2021-04-01,70F,"NHS WEST SUSSEX",93798,399397.3,0,0
2021-04-01,13T,"NHS NEWCASTLE GATESHEAD",96694,252177.43,0,0
2021-04-01,15F,"NHS LEEDS",96817,320887.24,0,0
2021-04-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",96953,336769.53,0,0
2021-04-01,11J,"NHS DORSET",97499,363794.74,0,0
2021-04-01,27D,"NHS CHESHIRE",102252,321076.21,0,0
2021-04-01,93C,"NHS NORTH CENTRAL LONDON",105859,391996.51,0,0
2021-04-01,78H,"NHS NORTHAMPTONSHIRE",106420,309814.3,0,0
2021-04-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",109463,389813.43,0,0
2021-04-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",111999,380393.03,0,0
2021-04-01,36L,"NHS SOUTH WEST LONDON",113304,395185.39,0,0
2021-04-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",114820,384514.27,0,0
2021-04-01,84H,"NHS COUNTY DURHAM",115425,309354.29,0,0
2021-04-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",122144,369217.01,0,0
2021-04-01,72Q,"NHS SOUTH EAST LONDON",122420,456173.25,0,0
2021-04-01,15E,"NHS BIRMINGHAM AND SOLIHULL",122548,440662.74,0,0
2021-04-01,16C,"NHS TEES VALLEY",127341,378775.68,0,0
2021-04-01,D2P2L,"NHS BLACK COUNTRY",131425,465274.43,0,0
2021-04-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",133559,449931.67,0,0
2021-04-01,71E,"NHS LINCOLNSHIRE",133948,410625.59,0,0
2021-04-01,15M,"NHS DERBY AND DERBYSHIRE",137972,474766.42,0,0
2021-04-01,W2U3Z,"NHS NORTH WEST LONDON",138929,484085.29,0,0
2021-04-01,A3A8R,"NHS NORTH EAST LONDON",143889,463590.67,0,0
2021-04-01,15N,"NHS DEVON",166574,585363.93,0,0
2021-04-01,26A,"NHS NORFOLK AND WAVENEY",176572,561141.12,0,0
2021-04-01,91Q,"NHS KENT AND MEDWAY",206120,767052.16,0,0
2021-04-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",206877,861512.83,0,0
2021-05-01,09W,"NHS MEDWAY",0,0,0,0
2021-05-01,D4U1Y,"NHS FRIMLEY",4761,19310.08,0,0
2021-05-01,02G,"NHS WEST LANCASHIRE",13178,44210.17,0,0
2021-05-01,05D,"NHS EAST STAFFORDSHIRE",15119,48641.04,0,0
2021-05-01,04Y,"NHS CANNOCK CHASE",15993,52531.15,0,0
2021-05-01,01V,"NHS SOUTHPORT AND FORMBY",16534,57684.69,0,0
2021-05-01,05V,"NHS STAFFORD AND SURROUNDS",16637,54395.47,0,0
2021-05-01,07G,"NHS THURROCK",17057,54321.75,0,0
2021-05-01,99F,"NHS CASTLE POINT AND ROCHFORD",18006,69298.36,0,0
2021-05-01,02Q,"NHS BASSETLAW",18530,52385.94,0,0
2021-05-01,01F,"NHS HALTON",18944,65782.17,0,0
2021-05-01,99G,"NHS SOUTHEND",19742,75746.24,0,0
2021-05-01,00Q,"NHS BLACKBURN WITH DARWEN",20883,63401.88,0,0
2021-05-01,03H,"NHS NORTH EAST LINCOLNSHIRE",22833,61211.79,0,0
2021-05-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",22855,82628.83,0,0
2021-05-01,01T,"NHS SOUTH SEFTON",23472,79549.54,0,0
2021-05-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",23560,81241.23,0,0
2021-05-01,00V,"NHS BURY",23900,93055.57,0,0
2021-05-01,10R,"NHS PORTSMOUTH",25539,96183.48,0,0
2021-05-01,02E,"NHS WARRINGTON",25632,100232.96,0,0
2021-05-01,01E,"NHS GREATER PRESTON",25639,77378.85,0,0
2021-05-01,01J,"NHS KNOWSLEY",26201,82640.24,0,0
2021-05-01,03K,"NHS NORTH LINCOLNSHIRE",26366,73930.89,0,0
2021-05-01,99E,"NHS BASILDON AND BRENTWOOD",26758,104839.21,0,0
2021-05-01,03Q,"NHS VALE OF YORK",26901,85899.35,0,0
2021-05-01,02M,"NHS FYLDE AND WYRE",27251,80909.05,0,0
2021-05-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",27912,113978.44,0,0
2021-05-01,05G,"NHS NORTH STAFFORDSHIRE",28270,94520.75,0,0
2021-05-01,02T,"NHS CALDERDALE",28409,84136.49,0,0
2021-05-01,00N,"NHS SOUTH TYNESIDE",28967,76410.89,0,0
2021-05-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",29172,96470.28,0,0
2021-05-01,02A,"NHS TRAFFORD",29197,91824.23,0,0
2021-05-01,00Y,"NHS OLDHAM",30025,98604.63,0,0
2021-05-01,01Y,"NHS TAMESIDE AND GLOSSOP",30785,93710.33,0,0
2021-05-01,07H,"NHS WEST ESSEX",32437,103469.4,0,0
2021-05-01,00R,"NHS BLACKPOOL",32456,92011.28,0,0
2021-05-01,01X,"NHS ST HELENS",32834,107863.26,0,0
2021-05-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",34609,127135.41,0,0
2021-05-01,09D,"NHS BRIGHTON AND HOVE",34869,129044.9,0,0
2021-05-01,04C,"NHS LEICESTER CITY",35140,112909.92,0,0
2021-05-01,00T,"NHS BOLTON",38258,133333.59,0,0
2021-05-01,03L,"NHS ROTHERHAM",38701,117508.45,0,0
2021-05-01,99C,"NHS NORTH TYNESIDE",38780,106013.44,0,0
2021-05-01,02Y,"NHS EAST RIDING OF YORKSHIRE",40232,123552.68,0,0
2021-05-01,05W,"NHS STOKE ON TRENT",41086,126671.68,0,0
2021-05-01,01G,"NHS SALFORD",41488,121602.07,0,0
2021-05-01,14Y,"NHS BUCKINGHAMSHIRE",42326,166614.69,0,0
2021-05-01,07K,"NHS WEST SUFFOLK",42574,129476.72,0,0
2021-05-01,01W,"NHS STOCKPORT",42578,140187.54,0,0
2021-05-01,03F,"NHS HULL",43630,110866.57,0,0
2021-05-01,01K,"NHS MORECAMBE BAY",44727,145204.14,0,0
2021-05-01,02H,"NHS WIGAN BOROUGH",46193,159647.11,0,0
2021-05-01,15A,"NHS BERKSHIRE WEST",46693,194336.52,0,0
2021-05-01,01H,"NHS NORTH CUMBRIA",47041,138715.48,0,0
2021-05-01,02X,"NHS DONCASTER",47739,139106.24,0,0
2021-05-01,01A,"NHS EAST LANCASHIRE",48023,142602.96,0,0
2021-05-01,02P,"NHS BARNSLEY",48042,125324.29,0,0
2021-05-01,04V,"NHS WEST LEICESTERSHIRE",48242,160924.66,0,0
2021-05-01,06N,"NHS HERTS VALLEYS",50496,181410.3,0,0
2021-05-01,03R,"NHS WAKEFIELD",50738,173073.16,0,0
2021-05-01,06Q,"NHS MID ESSEX",50774,155935.1,0,0
2021-05-01,X2C4Y,"NHS KIRKLEES",51213,173462.64,0,0
2021-05-01,12F,"NHS WIRRAL",51587,171222.99,0,0
2021-05-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",54504,204287.8,0,0
2021-05-01,00L,"NHS NORTHUMBERLAND",54717,160066.17,0,0
2021-05-01,06T,"NHS NORTH EAST ESSEX",55737,183630.43,0,0
2021-05-01,06L,"NHS IPSWICH AND EAST SUFFOLK",58061,185555.75,0,0
2021-05-01,00P,"NHS SUNDERLAND",65349,144383.47,0,0
2021-05-01,42D,"NHS NORTH YORKSHIRE",65780,203938.45,0,0
2021-05-01,11X,"NHS SOMERSET",66037,223415.05,0,0
2021-05-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",66194,223850.28,0,0
2021-05-01,97R,"NHS EAST SUSSEX",67658,253293.97,0,0
2021-05-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",69426,225457,0,0
2021-05-01,10Q,"NHS OXFORDSHIRE",73696,291464.12,0,0
2021-05-01,99A,"NHS LIVERPOOL",78193,265968.86,0,0
2021-05-01,14L,"NHS MANCHESTER",78673,252304.98,0,0
2021-05-01,03N,"NHS SHEFFIELD",80834,238718.46,0,0
2021-05-01,11M,"NHS GLOUCESTERSHIRE",83903,274272.08,0,0
2021-05-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",85505,279067.42,0,0
2021-05-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",85802,287757.93,0,0
2021-05-01,70F,"NHS WEST SUSSEX",90566,372769.65,0,0
2021-05-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",91403,320820.67,0,0
2021-05-01,15F,"NHS LEEDS",91451,319085.04,0,0
2021-05-01,13T,"NHS NEWCASTLE GATESHEAD",92529,239469.54,0,0
2021-05-01,92A,"NHS SURREY HEARTLANDS",92702,415751.28,0,0
2021-05-01,11J,"NHS DORSET",92890,346379.34,0,0
2021-05-01,27D,"NHS CHESHIRE",99477,311326.91,0,0
2021-05-01,78H,"NHS NORTHAMPTONSHIRE",100739,291000.31,0,0
2021-05-01,93C,"NHS NORTH CENTRAL LONDON",101316,395061.34,0,0
2021-05-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",104872,380916.72,0,0
2021-05-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",106303,355933.56,0,0
2021-05-01,36L,"NHS SOUTH WEST LONDON",109644,392848.62,0,0
2021-05-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",110109,367329.24,0,0
2021-05-01,84H,"NHS COUNTY DURHAM",110527,292646.56,0,0
2021-05-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",115733,349366.78,0,0
2021-05-01,15E,"NHS BIRMINGHAM AND SOLIHULL",116587,420441.13,0,0
2021-05-01,72Q,"NHS SOUTH EAST LONDON",120064,446858.91,0,0
2021-05-01,16C,"NHS TEES VALLEY",122262,363945.61,0,0
